episode,ep_reward,avg_loss,avg_v_now,n_decisions,n_transitions,n_updates,wall_time_s,train_CR,train_WT,train_DU,val_reward_mean,val_reward_std,val_CR,val_WT,val_DU
129,-2379.6338928796526,0.05520367647383224,-3.427237357139366,8618,8618,270,14.825034856796265,0.5939310344827586,5.5278094272034535,0.4421976632136834,-2388.5148977337894,59.2969854696473,0.6051399193229338,5.430589554924667,0.41819756055284163
130,-2375.7266111505446,0.05577737972789416,-3.5775057904268572,8434,8434,264,14.412848711013794,0.5723524656426839,5.746166524176322,0.4403291566480981,,,,,
131,-2299.0057219567384,0.05362077738105688,-3.5858091079239296,8475,8475,265,14.456622123718262,0.6110491071428571,5.4504771666199305,0.43561114715512167,,,,,
132,-2367.2408768373098,0.053683266417551646,-3.559746173100105,8753,8753,274,15.139322996139526,0.6093576965669989,5.490066736782029,0.4313197841245298,,,,,
133,-2305.6799932682784,0.07299682117716177,-3.560432493517977,8833,8833,277,15.49511194229126,0.6666666666666666,5.292381219375292,0.42217298175640744,,,,,
134,-2443.1462863000675,0.05130912862757596,-3.5661315286340396,9029,9029,283,16.3733389377594,0.635226963848872,5.379653670803987,0.4487682341016262,,,,,
135,-2323.7145130865692,0.05152328079394529,-3.544155409231209,8661,8661,271,15.14342999458313,0.6242969628796401,5.318429560709095,0.43571556832465436,,,,,
136,-2484.0415937773446,0.05939194177567581,-3.569567284759651,8825,8825,276,15.23639178276062,0.5905826017557861,5.599023673930877,0.4545468264268252,,,,,
137,-2312.6479832039795,0.04992018005511952,-3.5398164264486733,8474,8474,265,14.737497091293335,0.6099150141643059,5.436390891211608,0.41775991393479367,,,,,
138,-2322.478005370473,0.04638508486052539,-3.5440417859943576,8605,8605,269,14.75343632698059,0.6145313366611204,5.327759626766144,0.4163967106902567,,,,,
139,-2266.3718274476637,0.05631655383797571,-3.5537882953385154,8274,8274,259,14.814974069595337,0.5825994128636243,5.380006492104079,0.4337265787647467,-2397.224893002927,114.01536845887406,0.6105959190586037,5.469083315069021,0.4223207303656259
140,-2218.5993714387364,0.04279236632616096,-3.5639804721674846,8384,8384,262,15.148216962814331,0.6015424164524421,5.4230977158462155,0.396634651857921,,,,,
141,-2511.4755300034135,0.05427652443856494,-3.549746291951979,9156,9156,287,16.280438899993896,0.6331015299026426,5.473755371276852,0.44227112197772345,,,,,
142,-2513.945758950695,0.05083850125915238,-3.577776414717714,8934,8934,280,15.920864820480347,0.6115834218916046,5.639267022884918,0.46271085236602477,,,,,
143,-2372.641806232848,0.059188524779080806,-3.5437752670561493,8804,8804,276,15.312185764312744,0.6222928097025701,5.333560987389357,0.4210708846635203,,,,,
144,-2379.9621220715017,0.053122234158743085,-3.5650517776925366,8511,8511,266,14.892821073532104,0.5871108683779356,5.551338627869621,0.44380789125466136,,,,,
145,-2419.450779606141,0.05920304468347003,-3.634118954845951,8807,8807,276,17.1499981880188,0.6122337520480612,5.433194504746049,0.42646952445711145,,,,,
146,-2453.448293185456,0.051912146513875,-3.6204754617870747,9064,9064,284,17.099215269088745,0.6140491452991453,5.438005767665936,0.4459739469375335,,,,,
