episode,ep_reward,avg_loss,avg_q,epsilon,n_transitions,n_completion_bonus,global_abm_step,buffer_size,wall_time_s
177,-2549.1902311685494,0.35179286707978147,8.128241396959412,0.050000000000000044,8883,2253,127161,100000,18189.8
178,-2583.240718092319,0.35498391197274365,8.337378773283168,0.050000000000000044,8959,2233,127880,100000,18295.1
179,-2607.06431854775,0.35263473319573596,8.09689448311547,0.050000000000000044,9070,2226,128599,100000,18401.4
180,-2642.67561618038,0.3516195914407977,7.840855902754976,0.050000000000000044,8767,2216,129317,100000,18503.0,-2590.299444041684,43.34416164704898,0.6140305502385571,5.600714912376823,0.41693948343302945
181,-2521.884820965944,0.3474671968303878,8.218124764883655,0.050000000000000044,8700,2189,130036,100000,18651.1
182,-2659.730193595909,0.35115878639833564,7.651050872392363,0.050000000000000044,8982,2248,130754,100000,18755.7
183,-2542.04001161801,0.352519123634169,8.141413175333682,0.050000000000000044,8776,2223,131473,100000,18857.9
184,-2651.675964609263,0.34917588064943816,8.224141888579153,0.050000000000000044,9205,2207,132190,100000,18965.4
185,-2426.354451883791,0.3500288176165772,7.836410355978013,0.050000000000000044,8343,2134,132909,100000,19063.3
186,-2684.567148346981,0.3568551875082136,8.203609211577309,0.050000000000000044,9432,2297,133628,100000,19174.4
187,-2647.9934190264635,0.3563990865419381,7.934836602532687,0.050000000000000044,9042,2254,134345,100000,19280.7
188,-2625.8690010415326,0.3507677018793655,7.730691009644296,0.050000000000000044,8868,2237,135064,100000,19383.6
189,-2517.0031380577557,0.35797542672523525,7.9351528465995385,0.050000000000000044,8668,2199,135782,100000,19485.0
190,-2752.6588622145146,0.35668430818771585,7.82383578745975,0.050000000000000044,9236,2250,136501,100000,19593.1,-2632.3959681825513,47.58225429919752,0.6017585705612987,5.686416175505334,0.43890598415514315
191,-2350.2469577114375,0.3504316898896437,7.804768703126448,0.050000000000000044,7892,2015,137215,100000,19730.6
192,-2545.2673867196977,0.35098162514342673,8.095942073000622,0.050000000000000044,8796,2184,137932,100000,19833.0
193,-2591.0653188395104,0.3595368652001734,8.350109531310387,0.050000000000000044,9247,2225,138651,100000,19941.4
194,-2650.3250665552655,0.3586062721763272,8.251509281643724,0.050000000000000044,9209,2289,139370,100000,20049.4
195,-2387.626568806958,0.3542589467251003,8.176871146135184,0.050000000000000044,8681,2248,140088,100000,20149.9
196,-2353.408662104481,0.3599827941777848,7.684444954768869,0.050000000000000044,8118,2098,140807,100000,20244.3
197,-2467.0926197955987,0.36068319834525725,8.086732881195232,0.050000000000000044,8890,2240,141526,100000,20347.1
